score,name,niche,town,phone,website,verified_flaw,flaws
99,Cafe Roberto,restaurant,High Wycombe,,,yes,no website at all
99,Chennai Spice Kitchen,restaurant,High Wycombe,,,yes,no website at all
99,Electric Installations,electrician,High Wycombe,+44 1494 888600,,yes,no website at all
99,Flackwell Heath Moto Park,gym,High Wycombe,,,yes,no website at all
99,Vets4Pets,vet,High Wycombe,,,yes,no website at all
99,New World Finance,accountant,High Wycombe,,,yes,no website at all
99,Engine Room,restaurant,Marlow,,,yes,no website at all
99,Lavvin,restaurant,Marlow,,,yes,no website at all
99,Megan's,restaurant,Marlow,,,yes,no website at all
99,Streat@8,restaurant,Marlow,,,yes,no website at all
99,Suum Vietnamese Kitchen,restaurant,Marlow,,,yes,no website at all
99,Accademia Italiana Hair,salon,Marlow,,,yes,no website at all
99,Angel Nails Spa,salon,Marlow,+44 1628 488522,,yes,no website at all
99,Barber Shop,salon,Marlow,,,yes,no website at all
99,Chic Hair,salon,Marlow,,,yes,no website at all
99,Dorata,salon,Marlow,,,yes,no website at all
99,The Art of Turkish barbering,salon,Marlow,+44 1628 473341,,yes,no website at all
99,The Beauty Doctor,salon,Marlow,,,yes,no website at all
99,The Chapel Hairdressing,salon,Marlow,,,yes,no website at all
99,The Hairology Centre,salon,Marlow,+44 1344 620211,,yes,no website at all
99,Tree Nail Spa,salon,Marlow,,,yes,no website at all
99,V.I.P Barber,salon,Marlow,,,yes,no website at all
99,Youngmans Oxford,salon,Marlow,+44 1628 486600,,yes,no website at all
99,cut UK,salon,Marlow,+44 1628 482550,,yes,no website at all
99,Elite Dental Clinic,dentist,Marlow,,,yes,no website at all
99,Puresmile,dentist,Marlow,,,yes,no website at all
99,High Ropes Area,gym,Marlow,,,yes,no website at all
99,Marlow Rugby Club,gym,Marlow,,,yes,no website at all
99,The Redgrave Centre,gym,Marlow,,,yes,no website at all
99,Wycombe District Athletics Complex,gym,Marlow,,,yes,no website at all
99,Hall Place Vetinary Practice,vet,Marlow,,,yes,no website at all
99,Browns,restaurant,Beaconsfield,,,yes,no website at all
99,Cha! Cha! Cha!,restaurant,Beaconsfield,,,yes,no website at all
99,Koyo,restaurant,Beaconsfield,,,yes,no website at all
99,Nuad Thai,restaurant,Beaconsfield,,,yes,no website at all
99,Teppanyaki & Sushi Restaurant,restaurant,Beaconsfield,,,yes,no website at all
99,Beacon Barbers,salon,Beaconsfield,,,yes,no website at all
99,Beaconsfield Beauty Lounge,salon,Beaconsfield,,,yes,no website at all
99,Emile De-Londres,salon,Beaconsfield,,,yes,no website at all
99,Geezers,salon,Beaconsfield,,,yes,no website at all
99,H&H Nails & Beauty,salon,Beaconsfield,,,yes,no website at all
99,Just Jenny,salon,Beaconsfield,,,yes,no website at all
99,Mayflower,salon,Beaconsfield,,,yes,no website at all
99,Nailed,salon,Beaconsfield,,,yes,no website at all
99,Ottoman Barber & Barista,salon,Beaconsfield,,,yes,no website at all
99,Polish'd,salon,Beaconsfield,,,yes,no website at all
99,Tanning Station,salon,Beaconsfield,,,yes,no website at all
99,Wax & Lash,salon,Beaconsfield,,,yes,no website at all
99,nails & brows,salon,Beaconsfield,,,yes,no website at all
99,Beaconsfield Rugby Club clubhouse,gym,Beaconsfield,,,yes,no website at all
99,The Beacon Center,gym,Beaconsfield,,,yes,no website at all
99,Holtspur Veterinary Clinic,vet,Beaconsfield,,,yes,no website at all
99,The Wheelhouse Veterinary Centre,vet,Beaconsfield,,,yes,no website at all
99,Artichoke,restaurant,Amersham,,,yes,no website at all
99,Chalfont Oriental,restaurant,Amersham,,,yes,no website at all
99,Ego at The Pomeroy Inn,restaurant,Amersham,+44 1494 766845,,yes,no website at all
99,Eleven,restaurant,Amersham,,,yes,no website at all
99,Gilbey's,restaurant,Amersham,,,yes,no website at all
99,Little Istanbul,restaurant,Amersham,,,yes,no website at all
99,Mangal Express,restaurant,Amersham,+44 1491 765353,,yes,no website at all
99,Mans,restaurant,Amersham,,,yes,no website at all
